,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000918.SZ,20000104,5.6772,5.7218,5.4015,5.588,1.6222,7625.0
1,000918.SZ,20000105,5.588,5.6934,5.5434,5.5474,-0.7266,6555.0
2,000918.SZ,20000106,5.5556,5.7786,5.5312,5.7583,3.8018,6700.0
3,000918.SZ,20000107,5.7989,6.0746,5.7502,5.9408,3.1693,16039.0
4,000918.SZ,20000110,5.9611,6.0787,5.9205,6.0016,1.0234,16485.0
5,000918.SZ,20000111,6.0016,6.0016,5.6569,5.7137,-4.7971,11859.0
6,000918.SZ,20000112,5.7097,5.8313,5.5353,5.5515,-2.8388,5668.0
7,000918.SZ,20000113,5.5556,5.6245,5.5109,5.5312,-0.3657,2776.0
8,000918.SZ,20000114,5.5353,5.5677,5.3974,5.4136,-2.1261,2619.0
9,000918.SZ,20000117,5.3731,5.5637,5.3569,5.4826,1.2746,2615.0
10,000918.SZ,20000118,5.5474,5.5961,5.4217,5.4745,-0.1477,2841.0
11,000918.SZ,20000119,5.4015,5.5353,5.3933,5.4623,-0.2229,4307.0
12,000918.SZ,20000120,5.515,5.6691,5.4745,5.6042,2.5978,3623.0
13,000918.SZ,20000121,5.6367,6.03,5.6285,5.7745,3.0388,14595.0
14,000918.SZ,20000124,5.88,5.9165,5.6042,5.7543,-0.3498,7104.0
15,000918.SZ,20000125,5.7259,5.8191,5.6002,5.6367,-2.0437,5426.0
16,000918.SZ,20000126,5.6083,5.6123,5.5191,5.6083,-0.5038,3570.0
17,000918.SZ,20000127,5.7178,5.7989,5.6083,5.6326,0.4333,7832.0
18,000918.SZ,20000128,5.6367,5.6448,5.4745,5.5921,-0.719,12177.0
19,000918.SZ,20000214,5.7015,6.0868,5.665,6.0827,8.7731,24775.0
20,000918.SZ,20000215,6.0827,6.3585,5.8394,5.9611,-1.9991,33745.0
21,000918.SZ,20000216,5.9408,6.5491,5.8394,6.5328,9.5905,34406.0
22,000918.SZ,20000217,6.6099,6.691,5.9408,5.957,-8.814,27261.0
23,000918.SZ,20000218,5.884,6.2247,5.811,6.1111,2.5869,10074.0
24,000918.SZ,20000222,6.1273,6.2733,5.7178,5.7826,-5.3755,8765.0
25,000918.SZ,20000223,5.7178,5.88,5.6367,5.6772,-1.8227,8702.0
26,000918.SZ,20000224,5.6772,5.7502,5.661,5.7218,0.7856,6268.0
27,000918.SZ,20000225,5.7299,5.7543,5.5474,5.6083,-1.9836,12694.0
28,000918.SZ,20000228,5.6083,5.8759,5.5556,5.7502,2.5302,13307.0
29,000918.SZ,20000229,5.4745,5.7502,5.296,5.7015,-0.8469,12844.0
30,000918.SZ,20000301,5.7056,5.738,5.5231,5.661,-0.7103,15299.0
31,000918.SZ,20000302,5.6691,5.7137,5.5758,5.5961,-1.1464,9142.0
32,000918.SZ,20000303,5.6083,5.8232,5.5961,5.7989,3.624,14614.0
33,000918.SZ,20000306,5.88,5.9002,5.5961,5.6083,-3.2868,9612.0
34,000918.SZ,20000307,5.5758,5.7583,5.5758,5.661,0.9397,4904.0
35,000918.SZ,20000308,5.6772,5.7502,5.5961,5.6772,0.2862,6084.0
36,000918.SZ,20000309,5.7178,5.9651,5.6569,5.8759,3.5,12896.0
37,000918.SZ,20000310,5.88,5.9002,5.6975,5.7137,-2.7604,8066.0
38,000918.SZ,20000313,5.6691,5.9692,5.6488,5.9165,3.5494,14904.0
39,000918.SZ,20000314,5.8394,5.953,5.6772,5.8273,-1.5076,13105.0
40,000918.SZ,20000315,5.88,6.1233,5.8394,6.0178,3.2691,21924.0
41,000918.SZ,20000316,5.9935,6.0016,5.7178,5.7502,-4.4468,11136.0
42,000918.SZ,20000317,5.7178,5.8597,5.6975,5.8151,1.1287,6904.0
43,000918.SZ,20000320,5.7583,6.0746,5.6772,6.0016,3.2072,17315.0
44,000918.SZ,20000321,6.0016,6.2855,5.9935,6.0989,1.6212,24047.0
45,000918.SZ,20000322,6.0989,6.322,5.9611,6.0787,-0.3312,8150.0
46,000918.SZ,20000323,6.1233,6.2855,5.9813,6.2409,2.6683,21563.0
47,000918.SZ,20000324,6.3341,6.6099,6.2571,6.2652,0.3894,50679.0
48,000918.SZ,20000327,6.2449,6.5288,6.1436,6.4882,3.5593,24973.0
49,000918.SZ,20000328,6.545,6.5693,6.2855,6.3706,-1.8125,24518.0
50,000918.SZ,20000329,6.4801,6.4801,6.2044,6.326,-0.7001,13525.0
51,000918.SZ,20000330,6.326,6.4152,6.2247,6.3666,0.6418,8990.0
52,000918.SZ,20000331,6.2855,6.5288,6.2855,6.4923,1.9744,16736.0
53,000918.SZ,20000403,6.5288,6.5288,6.3869,6.4031,-1.3739,8959.0
54,000918.SZ,20000404,6.3666,6.3666,6.0908,6.1111,-4.5603,8434.0
55,000918.SZ,20000405,6.0624,6.2044,6.0422,6.1638,0.8624,5828.0
56,000918.SZ,20000406,6.1638,6.2368,6.0908,6.2125,0.7901,5865.0
57,000918.SZ,20000407,6.2855,6.4477,6.2247,6.3585,2.3501,6906.0
58,000918.SZ,20000411,6.4274,6.5247,6.2855,6.399,0.6369,11415.0
59,000918.SZ,20000412,6.4071,6.4193,6.2084,6.249,-2.3441,8046.0
60,000918.SZ,20000413,6.249,6.3666,6.1233,6.3058,0.9089,6155.0
61,000918.SZ,20000414,6.326,6.326,6.1476,6.2287,-1.2227,5186.0
62,000918.SZ,20000417,6.2287,6.2287,6.0016,6.0665,-2.6041,7736.0
63,000918.SZ,20000418,6.0422,6.2247,6.0016,6.2044,2.2731,5738.0
64,000918.SZ,20000419,6.2044,6.3341,6.1557,6.2693,1.046,5661.0
65,000918.SZ,20000420,6.2774,6.326,6.2084,6.2814,0.193,4711.0
66,000918.SZ,20000421,6.2003,6.3504,5.88,6.3139,0.5174,12867.0
67,000918.SZ,20000424,6.3017,6.4274,6.253,6.3828,1.0912,8982.0
68,000918.SZ,20000425,6.3869,6.4801,6.3666,6.3788,-0.0627,6127.0
69,000918.SZ,20000426,6.3869,6.5693,6.3869,6.4964,1.8436,19384.0
70,000918.SZ,20000427,6.5126,6.5612,6.3058,6.322,-2.6846,7295.0
71,000918.SZ,20000428,6.3409,6.4182,6.2474,6.4182,1.5442,7214.0
72,000918.SZ,20000508,6.467,6.4914,6.3084,6.3653,-0.8242,4509.0
73,000918.SZ,20000509,6.3247,6.3857,6.1742,6.1986,-2.6189,8143.0
74,000918.SZ,20000510,6.105,6.223,6.0603,6.0928,-1.7068,8237.0
75,000918.SZ,20000511,6.0562,6.162,6.0237,6.0684,-0.4005,4466.0
76,000918.SZ,20000512,6.101,6.223,6.044,6.0806,0.201,5004.0
77,000918.SZ,20000515,6.0806,6.0806,5.9342,6.0156,-1.069,4268.0
78,000918.SZ,20000516,6.101,6.105,5.9993,6.0725,0.9459,3216.0
79,000918.SZ,20000517,6.0481,6.223,6.0196,6.0847,0.2009,4176.0
80,000918.SZ,20000518,6.1416,6.2433,6.0237,6.1823,1.604,3470.0
81,000918.SZ,20000519,6.1783,6.2555,6.1254,6.2352,0.8557,4690.0
82,000918.SZ,20000522,6.345,6.5077,6.2637,6.467,3.7176,18409.0
83,000918.SZ,20000523,6.4874,6.7965,6.3938,6.7111,3.7745,37556.0
84,000918.SZ,20000524,6.7192,6.8941,6.5891,6.7029,-0.1222,26464.0
85,000918.SZ,20000525,6.7111,6.8331,6.6704,6.7558,0.7892,15740.0
86,000918.SZ,20000526,6.7721,6.9876,6.7721,6.9063,2.2277,25966.0
87,000918.SZ,20000529,6.9876,7.0161,6.825,6.8656,-0.5893,13654.0
88,000918.SZ,20000530,6.8656,6.89,6.6989,6.7111,-2.2503,13469.0
89,000918.SZ,20000531,6.6663,6.8941,6.6419,6.829,1.7568,13822.0
90,000918.SZ,20000601,6.7924,6.8494,6.7517,6.7965,-0.4759,6707.0
91,000918.SZ,20000602,6.7965,7.008,6.7517,6.8656,1.0167,12813.0
92,000918.SZ,20000605,6.886,6.9958,6.7721,6.8819,0.2374,10840.0
93,000918.SZ,20000606,6.8738,7.0161,6.8372,6.9958,1.6551,12013.0
94,000918.SZ,20000607,7.0365,7.0568,6.947,6.9714,-0.3488,9326.0
95,000918.SZ,20000608,6.9551,6.9551,6.7761,6.8046,-2.3926,9418.0
